3738.97,8.31
3739.25,72.5
3739.58,114
3739.92,208
3739.97,78.5
3740.25,137
3740.58,137
3740.53,44.9
3740.98,150
3741.39,23.4
3741.44,8.3
3741.97,54.7
3742.30,191
3742.60,14.1
3742.55,20.9
3749.45,262
3749.75,1019
3749.80,369
3750.03,1436
3750.71,1015
3750.77,181
3751.28,494
3751.60,239
3751.92,400
3751.97,794
3752.28,632
3752.60,174
3752.92,1178
3752.97,620
3753.28,724
3753.60,197
3753.92,260
3753.97,280
3754.25,1027
3754.58,721
3754.92,694
3754.97,1059
3755.25,1227
3755.58,1687
3755.92,1090
3755.97,1694
3756.22,2650
3756.58,1070
3756.90,2819
3756.95,2389
3757.24,1892
3757.55,2994
3757.85,57.6
3757.78,294
3758.25,2528
3758.58,1555
3758.92,3320
3758.97,2301
3759.25,1073
3759.58,1500
3759.92,701
3759.94,785
3760.20,716
3760.49,1362
3760.77,1813
3760.73,1495
3761.25,537
3761.58,858
3761.92,615
3761.97,247
3762.26,13.6
3762.58,10.4
3762.92,15.9
3762.97,5.52
3763.25,15.1
3763.55,5.28
3763.85,5.77
3763.90,2.00
3764.22,4.37
3764.60,47.7
3764.92,26.3
3764.97,1.87
3765.23,28.8
3765.55,29.9
3765.89,0.363
3765.82,15.2
3768.97,1124
3769.27,2170
3769.59,2137
3769.91,152
3769.95,39.0
3770.26,6.05
3770.58,489
3770.92,964
3770.97,756
3771.26,376
3771.58,1783
3771.92,803
3771.97,695
3772.26,1764
3772.58,3060
3772.92,4262
3772.97,2698
3773.25,6325
3773.58,5486
3773.92,2568
3773.97,2249
3774.28,2856
3774.60,2868
3774.92,3290
3774.97,2460
3775.26,1611
3775.58,33.1
3775.91,37.0
3775.97,12.3
3776.28,0.028
3776.61,31.4
3776.91,240
3776.97,328
3777.27,581
3777.59,188
3777.92,91.3
3777.97,181
3778.16,476
3778.58,2.74
3778.90,28.6
3778.96,291
3779.31,440
3779.36,60.2
3778.65,363
3778.97,88
3779.25,197
3779.58,191
3779.91,265
3779.97,210
3780.25,449
3780.59,6.86
3780.92,0.264
3780.97,0.119
3796.20,10.5
3796.49,978
3796.87,1329
3796.91,2219
3797.25,2704
3797.58,681
3797.90,1209
3797.86,485
3798.27,439
3798.60,298
3798.56,379
3798.91,667
3799.25,309
3799.58,101
3799.91,501
3799.97,492
3800.21,233
3800.51,517
3800.81,169
3800.86,130
3801.28,26.8
3801.60,281
3801.92,145
3801.97,123
3802.26,41.8
3802.59,136
3802.91,54.0
3802.97,76.7
3803.33,6.30
3803.93,1404
3803.89,1757
3804.27,820
3804.59,121
3804.91,659
3804.97,525
3805.26,806
3805.58,49.6
3805.91,249
3805.96,331
3806.25,608
3806.58,209
3806.91,589
3806.96,985
3807.25,349
3807.58,923
3807.91,662
3807.97,687
3808.28,325
3808.60,1312
3808.91,1330
3808.97,961
3809.28,1740
3809.60,2088
3809.92,1587
3809.97,1014
3810.28,1307
3810.60,2522
3810.92,1751
3810.97,1025
3811.25,2347
3811.58,1091
3811.92,2653
3811.97,2575
3812.25,2182
3812.57,3531
3812.89,1542
3812.95,1375
3813.31,624
3813.60,208
3813.56,91.8
3813.96,161
3814.94,77.8
3814.90,36.8
3815.25,464
3815.58,308
3815.90,65.3
3815.96,5.21
3816.28,938
3816.60,1639
3816.92,5197
3816.96,4103
3817.30,2177
3817.64,1455
3817.60,391
3818.10,1.45
