iter	Passed	Remaining
573	5489	4073
574	5493	4060
575	5498	4047
576	5503	4034
577	5507	4020
578	5518	4012
579	5524	4000
580	5533	3990
581	5538	3978
582	5545	3966
583	5548	3952
584	5551	3938
585	5556	3925
586	5560	3911
587	5563	3897
588	5569	3886
589	5576	3875
590	5581	3862
591	5587	3850
592	5590	3837
593	5595	3824
594	5601	3812
595	5604	3799
596	5607	3785
597	5614	3774
598	5619	3761
599	5622	3748
600	5628	3736
601	5634	3725
602	5638	3712
603	5647	3702
604	5652	3690
605	5657	3678
606	5665	3667
607	5669	3655
608	5674	3643
609	5685	3635
610	5716	3639
611	5730	3633
612	5747	3628
613	5798	3645
614	5836	3653
615	5878	3664
616	5884	3653
617	5926	3663
618	5933	3652
619	5975	3662
620	6023	3676
621	6030	3664
622	6073	3675
623	6080	3663
624	6121	3672
625	6124	3659
626	6149	3658
627	6169	3654
628	6174	3641
629	6185	3633
630	6218	3636
631	6221	3622
632	6225	3609
633	6262	3615
634	6271	3605
635	6304	3608
636	6316	3599
637	6320	3586
638	6335	3579
639	6352	3573
640	6362	3563
641	6366	3550
642	6378	3541
643	6400	3538
644	6414	3530
645	6427	3522
646	6459	3524
647	6462	3510
648	6465	3496
649	6508	3504
650	6511	3490
651	6528	3484
652	6557	3484
653	6890	3645
654	6906	3637
655	6915	3626
656	7010	3659
657	7107	3694
658	7156	3703
659	7206	3712
660	7256	3721
661	7330	3742
662	7384	3753
663	7402	3745
664	7420	3738
665	7524	3773
666	7600	3794
667	7615	3784
668	7646	3783
669	7696	3790
670	7721	3785
671	7732	3774
672	7741	3761
673	7747	3747
674	7793	3752
675	7814	3745
676	7842	3741
677	7849	3727
678	7859	3715
679	7865	3701
680	7873	3688
681	7888	3678
682	7894	3664
683	7902	3650
684	7907	3636
685	7914	3622
686	7918	3607
687	7921	3592
688	7926	3577
689	7931	3563
690	7935	3548
691	7938	3533
692	7946	3520
693	7951	3505
694	7959	3492
695	7966	3479
696	7970	3465
697	7977	3451
698	7981	3436
699	7984	3422
700	7990	3408
701	7993	3393
702	7997	3378
703	8004	3365
704	8011	3352
705	8039	3347
706	8042	3333
707	8046	3318
708	8051	3304
709	8057	3291
710	8062	3277
711	8067	3263
712	8074	3250
713	8078	3236
714	8083	3222
715	8086	3207
716	8090	3193
717	8094	3179
718	8100	3165
719	8103	3151
720	8107	3137
721	8113	3123
722	8116	3109
723	8120	3095
724	8126	3082
725	8133	3069
726	8136	3055
727	8142	3042
728	8146	3028
729	8149	3014
730	8153	3000
731	8158	2987
732	8161	2973
733	8165	2959
734	8170	2945
735	8175	2932
736	8182	2919
737	8189	2907
738	8194	2894
739	8198	2880
740	8205	2868
741	8209	2854
742	8212	2840
743	8218	2827
744	8222	2814
745	8225	2800
746	8230	2787
747	8236	2774
748	8240	2761
749	8244	2748
750	8250	2735
751	8253	2721
752	8256	2708
753	8261	2695
754	8266	2682
755	8269	2669
756	8273	2655
757	8278	2642
758	8281	2629
759	8285	2616
760	8290	2603
761	8295	2591
762	8300	2578
763	8303	2564
764	8310	2552
765	8313	2539
766	8316	2526
767	8324	2514
768	8329	2501
769	8332	2488
770	8336	2476
771	8343	2464
772	8346	2450
773	8350	2438
774	8356	2425
775	8362	2413
776	8371	2402
777	8377	2390
778	8382	2377
779	8387	2365
780	8391	2353
781	8396	2340
782	8401	2328
783	8404	2315
784	8410	2303
785	8415	2291
786	8418	2278
787	8421	2265
788	8427	2253
789	8432	2241
790	8435	2228
791	8439	2216
792	8445	2204
793	8448	2192
794	8452	2179
795	8458	2167
796	8463	2155
797	8466	2143
798	8469	2130
799	8475	2118
800	8478	2106
801	8481	2093
802	8487	2082
803	8492	2070
804	8496	2058
805	8501	2046
806	8506	2034
807	8509	2022
808	8512	2009
809	8521	1998
810	8525	1986
811	8529	1974
812	8535	1963
813	8538	1951
814	8543	1939
815	8554	1928
816	8559	1917
817	8568	1906
818	8572	1894
819	8577	1882
820	8581	1871
821	8589	1860
822	8598	1849
823	8602	1837
824	8612	1826
825	8643	1820
826	8649	1809
827	8658	1798
828	8664	1787
829	8670	1775
830	8673	1763
831	8676	1752
832	8682	1740
833	8688	1729
834	8693	1717
835	8700	1706
836	8706	1695
837	8714	1684
838	8719	1673
839	8728	1662
840	8733	1651
841	8745	1641
842	8752	1630
843	8759	1619
844	8769	1608
845	8776	1597
846	8780	1586
847	8784	1574
848	8791	1563
849	8794	1552
850	8799	1540
851	8804	1529
852	8808	1517
853	8811	1506
854	8819	1495
855	8823	1484
856	8826	1472
857	8831	1461
858	8834	1450
859	8838	1438
860	8842	1427
861	8849	1416
862	8852	1405
863	8855	1393
864	8861	1383
865	8865	1371
866	8869	1360
867	8874	1349
868	8879	1338
869	8882	1327
870	8887	1316
871	8894	1305
872	8899	1294
873	8911	1284
874	8923	1274
875	8927	1263
876	8932	1252
877	8940	1242
878	8949	1231
879	8961	1222
880	8973	1212
881	8985	1202
882	8988	1191
883	9002	1181
884	9005	1170
885	9017	1160
886	9027	1150
887	9043	1140
888	9049	1129
889	9058	1119
890	9063	1108
891	9069	1098
892	9075	1087
893	9079	1076
894	9084	1065
895	9103	1056
896	9110	1046
897	9117	1035
898	9128	1025
899	9135	1015
900	9141	1004
901	9147	993
902	9153	983
903	9156	972
904	9165	962
905	9177	952
906	9185	941
907	9189	931
908	9226	923
909	9233	913
910	9238	902
911	9278	895
912	9282	884
913	9286	873
914	9327	866
915	9362	858
916	9377	848
917	9380	837
918	9386	827
919	9424	819
920	9427	808
921	9432	797
922	9472	790
923	9475	779
924	9480	768
925	9520	760
926	9562	753
927	9576	743
928	9618	735
929	9621	724
930	9626	713
931	9670	705
932	9673	694
933	9681	684
934	9687	673
935	9692	662
936	9696	651
937	9700	641
938	9703	630
939	9712	619
940	9719	609
941	9726	598
942	9729	588
943	9733	577
944	9738	566
945	9742	556
946	9746	545
947	9749	534
948	9757	524
949	9762	513
950	9769	503
951	9774	492
952	9777	482
953	9782	471
954	9787	461
955	9790	450
956	9795	440
957	9800	429
958	9803	419
959	9807	408
960	9811	398
961	9815	387
962	9818	377
963	9822	366
964	9828	356
965	9830	346
966	9833	335
967	9842	325
968	9847	315
969	9850	304
970	9854	294
971	9857	283
972	9864	273
973	9867	263
974	9879	253
975	9889	243
976	9903	233
977	9921	223
978	9944	213
979	9951	203
980	9959	192
981	9976	182
982	9981	172
983	9991	162
984	10004	152
985	10014	142
986	10021	132
987	10035	121
988	10051	111
989	10066	101
990	10081	91
991	10091	81
992	10096	71
993	10102	60
994	10108	50
995	10118	40
996	10125	30
997	10132	20
998	10139	10
999	10146	0
